_id,co_mun,no_mun,ano,variavel,inf_categoria,inf_subcategoria,valor
74,2700102,Água Branca,2010,Frota,veículos,1.1.15. Semi-reboque,3
75,2700102,Água Branca,2010,Frota,veículos,1.1.16. Sidecar,0
76,2700102,Água Branca,2010,Frota,veículos,1.1.17. Trator de esteira,0
77,2700102,Água Branca,2010,Frota,veículos,1.1.18. Trator de rodas,0
78,2700102,Água Branca,2010,Frota,veículos,1.1.19. Triciclo,0
79,2700102,Água Branca,2010,Frota,veículos,1.1.2. Bonde,0
80,2700102,Água Branca,2010,Frota,veículos,1.1.20. Utilitário,1
81,2700102,Água Branca,2010,Frota,veículos,1.1.21. Outros,0
82,2700102,Água Branca,2010,Frota,veículos,1.1.3. Caminhão,45
83,2700102,Água Branca,2010,Frota,veículos,1.1.4. Caminhão trator,2
84,2700102,Água Branca,2010,Frota,veículos,1.1.5. Caminhonete,336
85,2700102,Água Branca,2010,Frota,veículos,1.1.6. Camioneta,14
86,2700102,Água Branca,2010,Frota,veículos,1.1.7. Chassi plataforma,0
87,2700102,Água Branca,2010,Frota,veículos,1.1.8. Ciclomotor,0
88,2700102,Água Branca,2010,Frota,veículos,1.1.9. Micro-ônibus,77
89,2700102,Água Branca,2011,Frota,veículos,1. Veículo,1977
90,2700102,Água Branca,2011,Frota,veículos,1.1.1. Automóvel,340
91,2700102,Água Branca,2011,Frota,veículos,1.1.10. Motocicleta,1062
92,2700102,Água Branca,2011,Frota,veículos,1.1.11. Motoneta,69
93,2700102,Água Branca,2011,Frota,veículos,1.1.12. Ônibus,7
94,2700102,Água Branca,2011,Frota,veículos,1.1.13. Quadriciclo,0
95,2700102,Água Branca,2011,Frota,veículos,1.1.14. Reboque,3
96,2700102,Água Branca,2011,Frota,veículos,1.1.15. Semi-reboque,4
97,2700102,Água Branca,2011,Frota,veículos,1.1.16. Sidecar,0
98,2700102,Água Branca,2011,Frota,veículos,1.1.17. Trator de esteira,0
99,2700102,Água Branca,2011,Frota,veículos,1.1.18. Trator de rodas,0
100,2700102,Água Branca,2011,Frota,veículos,1.1.19. Triciclo,0
101,2700102,Água Branca,2011,Frota,veículos,1.1.2. Bonde,0
102,2700102,Água Branca,2011,Frota,veículos,1.1.20. Utilitário,1
103,2700102,Água Branca,2011,Frota,veículos,1.1.21. Outros,0
104,2700102,Água Branca,2011,Frota,veículos,1.1.3. Caminhão,50
