_id,co_mun,no_mun,ano,variavel,produto_tipo,produto_variavel,valor
55,2700201,Anadia,2014.0,Aquicultura,Carpa,Valor da produção (Mil Reais),...
56,2700201,Anadia,2014.0,Aquicultura,Carpa (Quilogramas),Produção da aquicultura,...
57,2700201,Anadia,2014.0,Aquicultura,"Curimatã, curimbatá",Valor da produção (Mil Reais),...
58,2700201,Anadia,2014.0,Aquicultura,"Curimatã, curimbatá (Quilogramas)",Produção da aquicultura,...
59,2700201,Anadia,2014.0,Aquicultura,Dourado,Valor da produção (Mil Reais),...
60,2700201,Anadia,2014.0,Aquicultura,Dourado (Quilogramas),Produção da aquicultura,...
61,2700201,Anadia,2014.0,Aquicultura,"Jatuarana, piabanha e piracanjuba",Valor da produção (Mil Reais),...
62,2700201,Anadia,2014.0,Aquicultura,"Jatuarana, piabanha e piracanjuba (Quilogramas)",Produção da aquicultura,...
63,2700201,Anadia,2014.0,Aquicultura,Lambari,Valor da produção (Mil Reais),...
64,2700201,Anadia,2014.0,Aquicultura,Lambari (Quilogramas),Produção da aquicultura,...
65,2700201,Anadia,2014.0,Aquicultura,Larvas e pós-larvas de camarão,Valor da produção (Mil Reais),...
66,2700201,Anadia,2014.0,Aquicultura,Larvas e pós-larvas de camarão (Milheiros),Produção da aquicultura,...
67,2700201,Anadia,2014.0,Aquicultura,Matrinxã,Valor da produção (Mil Reais),...
68,2700201,Anadia,2014.0,Aquicultura,Matrinxã (Quilogramas),Produção da aquicultura,...
69,2700201,Anadia,2014.0,Aquicultura,"Ostras, vieiras e mexilhões",Valor da produção (Mil Reais),...
70,2700201,Anadia,2014.0,Aquicultura,"Ostras, vieiras e mexilhões (Quilogramas)",Produção da aquicultura,...
71,2700201,Anadia,2014.0,Aquicultura,Outros peixes,Valor da produção (Mil Reais),...
72,2700201,Anadia,2014.0,Aquicultura,Outros peixes (Quilogramas),Produção da aquicultura,...
73,2700201,Anadia,2014.0,Aquicultura,"Outros produtos (rã, jacaré, siri, caranguejo, lagosta, etc)",Valor da produção (Mil Reais),...
74,2700201,Anadia,2014.0,Aquicultura,"Outros produtos (rã, jacaré, siri, caranguejo, lagosta, etc) (Nenhuma)",Produção da aquicultura,...
75,2700201,Anadia,2014.0,Aquicultura,Pacu e patinga,Valor da produção (Mil Reais),...
76,2700201,Anadia,2014.0,Aquicultura,Pacu e patinga (Quilogramas),Produção da aquicultura,...
77,2700201,Anadia,2014.0,Aquicultura,"Piau, piapara, piauçu, piava",Valor da produção (Mil Reais),...
78,2700201,Anadia,2014.0,Aquicultura,"Piau, piapara, piauçu, piava (Quilogramas)",Produção da aquicultura,...
79,2700201,Anadia,2014.0,Aquicultura,"Pintado, cachara, cachapira e pintachara, surubim",Valor da produção (Mil Reais),...
80,2700201,Anadia,2014.0,Aquicultura,"Pintado, cachara, cachapira e pintachara, surubim (Quilogramas)",Produção da aquicultura,...
81,2700201,Anadia,2014.0,Aquicultura,Pirapitinga,Valor da produção (Mil Reais),...
82,2700201,Anadia,2014.0,Aquicultura,Pirapitinga (Quilogramas),Produção da aquicultura,...
83,2700201,Anadia,2014.0,Aquicultura,Pirarucu,Valor da produção (Mil Reais),...
84,2700201,Anadia,2014.0,Aquicultura,Pirarucu (Quilogramas),Produção da aquicultura,...
85,2700201,Anadia,2014.0,Aquicultura,Sementes de moluscos,Valor da produção (Mil Reais),...
86,2700201,Anadia,2014.0,Aquicultura,Sementes de moluscos (Milheiros),Produção da aquicultura,...
87,2700201,Anadia,2014.0,Aquicultura,"Tambacu, tambatinga",Valor da produção (Mil Reais),...
88,2700201,Anadia,2014.0,Aquicultura,"Tambacu, tambatinga (Quilogramas)",Produção da aquicultura,...
89,2700201,Anadia,2014.0,Aquicultura,Tambaqui,Valor da produção (Mil Reais),...
90,2700201,Anadia,2014.0,Aquicultura,Tambaqui (Quilogramas),Produção da aquicultura,...
91,2700201,Anadia,2014.0,Aquicultura,Tilápia,Valor da produção (Mil Reais),...
92,2700201,Anadia,2014.0,Aquicultura,Tilápia (Quilogramas),Produção da aquicultura,...
93,2700201,Anadia,2014.0,Aquicultura,Total,Produção da aquicultura,..
94,2700201,Anadia,2014.0,Aquicultura,Total,Valor da produção (Mil Reais),...
95,2700201,Anadia,2014.0,Aquicultura,Traíra e trairão,Valor da produção (Mil Reais),...
96,2700201,Anadia,2014.0,Aquicultura,Traíra e trairão (Quilogramas),Produção da aquicultura,...
97,2700201,Anadia,2014.0,Aquicultura,Truta,Valor da produção (Mil Reais),...
98,2700201,Anadia,2014.0,Aquicultura,Truta (Quilogramas),Produção da aquicultura,...
99,2700201,Anadia,2014.0,Aquicultura,Tucunaré,Valor da produção (Mil Reais),...
100,2700201,Anadia,2014.0,Aquicultura,Tucunaré (Quilogramas),Produção da aquicultura,...
101,2700201,Anadia,2015.0,Aquicultura,Alevinos,Valor da produção (Mil Reais),...
102,2700201,Anadia,2015.0,Aquicultura,Alevinos (Milheiros),Produção da aquicultura,...
103,2700201,Anadia,2015.0,Aquicultura,Camarão,Valor da produção (Mil Reais),...
104,2700201,Anadia,2015.0,Aquicultura,Camarão (Quilogramas),Produção da aquicultura,...
105,2700201,Anadia,2015.0,Aquicultura,Carpa,Valor da produção (Mil Reais),...
106,2700201,Anadia,2015.0,Aquicultura,Carpa (Quilogramas),Produção da aquicultura,...
107,2700201,Anadia,2015.0,Aquicultura,"Curimatã, curimbatá",Valor da produção (Mil Reais),...
108,2700201,Anadia,2015.0,Aquicultura,"Curimatã, curimbatá (Quilogramas)",Produção da aquicultura,...
109,2700201,Anadia,2015.0,Aquicultura,Dourado,Valor da produção (Mil Reais),...
110,2700201,Anadia,2015.0,Aquicultura,Dourado (Quilogramas),Produção da aquicultura,...
111,2700201,Anadia,2015.0,Aquicultura,"Jatuarana, piabanha e piracanjuba",Valor da produção (Mil Reais),...
112,2700201,Anadia,2015.0,Aquicultura,"Jatuarana, piabanha e piracanjuba (Quilogramas)",Produção da aquicultura,...
113,2700201,Anadia,2015.0,Aquicultura,Lambari,Valor da produção (Mil Reais),...
114,2700201,Anadia,2015.0,Aquicultura,Lambari (Quilogramas),Produção da aquicultura,...
115,2700201,Anadia,2015.0,Aquicultura,Larvas e pós-larvas de camarão,Valor da produção (Mil Reais),...
116,2700201,Anadia,2015.0,Aquicultura,Larvas e pós-larvas de camarão (Milheiros),Produção da aquicultura,...
117,2700201,Anadia,2015.0,Aquicultura,Matrinxã,Valor da produção (Mil Reais),...
118,2700201,Anadia,2015.0,Aquicultura,Matrinxã (Quilogramas),Produção da aquicultura,...
119,2700201,Anadia,2015.0,Aquicultura,"Ostras, vieiras e mexilhões",Valor da produção (Mil Reais),...
120,2700201,Anadia,2015.0,Aquicultura,"Ostras, vieiras e mexilhões (Quilogramas)",Produção da aquicultura,...
121,2700201,Anadia,2015.0,Aquicultura,Outros peixes,Valor da produção (Mil Reais),...
122,2700201,Anadia,2015.0,Aquicultura,Outros peixes (Quilogramas),Produção da aquicultura,...
123,2700201,Anadia,2015.0,Aquicultura,"Outros produtos (rã, jacaré, siri, caranguejo, lagosta, etc)",Valor da produção (Mil Reais),...
124,2700201,Anadia,2015.0,Aquicultura,"Outros produtos (rã, jacaré, siri, caranguejo, lagosta, etc) (Nenhuma)",Produção da aquicultura,...
125,2700201,Anadia,2015.0,Aquicultura,Pacu e patinga,Valor da produção (Mil Reais),...
126,2700201,Anadia,2015.0,Aquicultura,Pacu e patinga (Quilogramas),Produção da aquicultura,...
127,2700201,Anadia,2015.0,Aquicultura,"Piau, piapara, piauçu, piava",Valor da produção (Mil Reais),...
128,2700201,Anadia,2015.0,Aquicultura,"Piau, piapara, piauçu, piava (Quilogramas)",Produção da aquicultura,...
129,2700201,Anadia,2015.0,Aquicultura,"Pintado, cachara, cachapira e pintachara, surubim",Valor da produção (Mil Reais),...
130,2700201,Anadia,2015.0,Aquicultura,"Pintado, cachara, cachapira e pintachara, surubim (Quilogramas)",Produção da aquicultura,...
131,2700201,Anadia,2015.0,Aquicultura,Pirapitinga,Valor da produção (Mil Reais),...
132,2700201,Anadia,2015.0,Aquicultura,Pirapitinga (Quilogramas),Produção da aquicultura,...
133,2700201,Anadia,2015.0,Aquicultura,Pirarucu,Valor da produção (Mil Reais),...
134,2700201,Anadia,2015.0,Aquicultura,Pirarucu (Quilogramas),Produção da aquicultura,...
135,2700201,Anadia,2015.0,Aquicultura,Sementes de moluscos,Valor da produção (Mil Reais),...
136,2700201,Anadia,2015.0,Aquicultura,Sementes de moluscos (Milheiros),Produção da aquicultura,...
137,2700201,Anadia,2015.0,Aquicultura,"Tambacu, tambatinga",Valor da produção (Mil Reais),...
138,2700201,Anadia,2015.0,Aquicultura,"Tambacu, tambatinga (Quilogramas)",Produção da aquicultura,...
139,2700201,Anadia,2015.0,Aquicultura,Tambaqui,Valor da produção (Mil Reais),...
140,2700201,Anadia,2015.0,Aquicultura,Tambaqui (Quilogramas),Produção da aquicultura,...
141,2700201,Anadia,2015.0,Aquicultura,Tilápia,Valor da produção (Mil Reais),...
142,2700201,Anadia,2015.0,Aquicultura,Tilápia (Quilogramas),Produção da aquicultura,...
143,2700201,Anadia,2015.0,Aquicultura,Total,Produção da aquicultura,..
144,2700201,Anadia,2015.0,Aquicultura,Total,Valor da produção (Mil Reais),...
145,2700201,Anadia,2015.0,Aquicultura,Traíra e trairão,Valor da produção (Mil Reais),...
146,2700201,Anadia,2015.0,Aquicultura,Traíra e trairão (Quilogramas),Produção da aquicultura,...
147,2700201,Anadia,2015.0,Aquicultura,Truta,Valor da produção (Mil Reais),...
148,2700201,Anadia,2015.0,Aquicultura,Truta (Quilogramas),Produção da aquicultura,...
149,2700201,Anadia,2015.0,Aquicultura,Tucunaré,Valor da produção (Mil Reais),...
150,2700201,Anadia,2015.0,Aquicultura,Tucunaré (Quilogramas),Produção da aquicultura,...
151,2700201,Anadia,2016.0,Aquicultura,Alevinos,Valor da produção (Mil Reais),...
152,2700201,Anadia,2016.0,Aquicultura,Alevinos (Milheiros),Produção da aquicultura,...
153,2700201,Anadia,2016.0,Aquicultura,Camarão,Valor da produção (Mil Reais),...
154,2700201,Anadia,2016.0,Aquicultura,Camarão (Quilogramas),Produção da aquicultura,...
155,2700201,Anadia,2016.0,Aquicultura,Carpa,Valor da produção (Mil Reais),...
156,2700201,Anadia,2016.0,Aquicultura,Carpa (Quilogramas),Produção da aquicultura,...
157,2700201,Anadia,2016.0,Aquicultura,"Curimatã, curimbatá",Valor da produção (Mil Reais),...
158,2700201,Anadia,2016.0,Aquicultura,"Curimatã, curimbatá (Quilogramas)",Produção da aquicultura,...
159,2700201,Anadia,2016.0,Aquicultura,Dourado,Valor da produção (Mil Reais),...
160,2700201,Anadia,2016.0,Aquicultura,Dourado (Quilogramas),Produção da aquicultura,...
161,2700201,Anadia,2016.0,Aquicultura,"Jatuarana, piabanha e piracanjuba",Valor da produção (Mil Reais),...
162,2700201,Anadia,2016.0,Aquicultura,"Jatuarana, piabanha e piracanjuba (Quilogramas)",Produção da aquicultura,...
163,2700201,Anadia,2016.0,Aquicultura,Lambari,Valor da produção (Mil Reais),...
164,2700201,Anadia,2016.0,Aquicultura,Lambari (Quilogramas),Produção da aquicultura,...
165,2700201,Anadia,2016.0,Aquicultura,Larvas e pós-larvas de camarão,Valor da produção (Mil Reais),...
166,2700201,Anadia,2016.0,Aquicultura,Larvas e pós-larvas de camarão (Milheiros),Produção da aquicultura,...
167,2700201,Anadia,2016.0,Aquicultura,Matrinxã,Valor da produção (Mil Reais),...
168,2700201,Anadia,2016.0,Aquicultura,Matrinxã (Quilogramas),Produção da aquicultura,...
169,2700201,Anadia,2016.0,Aquicultura,"Ostras, vieiras e mexilhões",Valor da produção (Mil Reais),...
170,2700201,Anadia,2016.0,Aquicultura,"Ostras, vieiras e mexilhões (Quilogramas)",Produção da aquicultura,...
171,2700201,Anadia,2016.0,Aquicultura,Outros peixes,Valor da produção (Mil Reais),...
172,2700201,Anadia,2016.0,Aquicultura,Outros peixes (Quilogramas),Produção da aquicultura,...
