_id,co_uf,no_uf,ano,variavel,inf_categoria,inf_subcategoria,valor
73,11.0,Rondônia,2010,Frota,veículos,1.1.14. Reboque,6169
74,11.0,Rondônia,2010,Frota,veículos,1.1.15. Semi-reboque,7157
75,11.0,Rondônia,2010,Frota,veículos,1.1.16. Sidecar,40
76,11.0,Rondônia,2010,Frota,veículos,1.1.17. Trator de esteira,1
77,11.0,Rondônia,2010,Frota,veículos,1.1.18. Trator de rodas,18
78,11.0,Rondônia,2010,Frota,veículos,1.1.19. Triciclo,105
79,11.0,Rondônia,2010,Frota,veículos,1.1.2. Bonde,0
80,11.0,Rondônia,2010,Frota,veículos,1.1.20. Utilitário,1288
81,11.0,Rondônia,2010,Frota,veículos,1.1.21. Outros,6
82,11.0,Rondônia,2010,Frota,veículos,1.1.3. Caminhão,22421
83,11.0,Rondônia,2010,Frota,veículos,1.1.4. Caminhão trator,4119
84,11.0,Rondônia,2010,Frota,veículos,1.1.5. Caminhonete,47023
85,11.0,Rondônia,2010,Frota,veículos,1.1.6. Camioneta,7125
86,11.0,Rondônia,2010,Frota,veículos,1.1.7. Chassi plataforma,16
87,11.0,Rondônia,2010,Frota,veículos,1.1.8. Ciclomotor,459
88,11.0,Rondônia,2010,Frota,veículos,1.1.9. Micro-ônibus,743
89,11.0,Rondônia,2011,Frota,veículos,1. Veículo,634416
90,11.0,Rondônia,2011,Frota,veículos,1.1.1. Automóvel,173689
91,11.0,Rondônia,2011,Frota,veículos,1.1.10. Motocicleta,273004
92,11.0,Rondônia,2011,Frota,veículos,1.1.11. Motoneta,75421
93,11.0,Rondônia,2011,Frota,veículos,1.1.12. Ônibus,4213
94,11.0,Rondônia,2011,Frota,veículos,1.1.13. Quadriciclo,0
95,11.0,Rondônia,2011,Frota,veículos,1.1.14. Reboque,6904
96,11.0,Rondônia,2011,Frota,veículos,1.1.15. Semi-reboque,7836
97,11.0,Rondônia,2011,Frota,veículos,1.1.16. Sidecar,40
98,11.0,Rondônia,2011,Frota,veículos,1.1.17. Trator de esteira,1
99,11.0,Rondônia,2011,Frota,veículos,1.1.18. Trator de rodas,20
100,11.0,Rondônia,2011,Frota,veículos,1.1.19. Triciclo,176
101,11.0,Rondônia,2011,Frota,veículos,1.1.2. Bonde,0
102,11.0,Rondônia,2011,Frota,veículos,1.1.20. Utilitário,1594
103,11.0,Rondônia,2011,Frota,veículos,1.1.21. Outros,14
104,11.0,Rondônia,2011,Frota,veículos,1.1.3. Caminhão,24207
105,11.0,Rondônia,2011,Frota,veículos,1.1.4. Caminhão trator,4432
106,11.0,Rondônia,2011,Frota,veículos,1.1.5. Caminhonete,53501
107,11.0,Rondônia,2011,Frota,veículos,1.1.6. Camioneta,7964
108,11.0,Rondônia,2011,Frota,veículos,1.1.7. Chassi plataforma,17
109,11.0,Rondônia,2011,Frota,veículos,1.1.8. Ciclomotor,521
110,11.0,Rondônia,2011,Frota,veículos,1.1.9. Micro-ônibus,862
111,11.0,Rondônia,2012,Frota,veículos,1. Veículo,700065
112,11.0,Rondônia,2012,Frota,veículos,1.1.1. Automóvel,194190
113,11.0,Rondônia,2012,Frota,veículos,1.1.10. Motocicleta,298733
114,11.0,Rondônia,2012,Frota,veículos,1.1.11. Motoneta,84171
115,11.0,Rondônia,2012,Frota,veículos,1.1.12. Ônibus,4571
116,11.0,Rondônia,2012,Frota,veículos,1.1.13. Quadriciclo,0
117,11.0,Rondônia,2012,Frota,veículos,1.1.14. Reboque,7819
118,11.0,Rondônia,2012,Frota,veículos,1.1.15. Semi-reboque,8426
119,11.0,Rondônia,2012,Frota,veículos,1.1.16. Sidecar,40
120,11.0,Rondônia,2012,Frota,veículos,1.1.17. Trator de esteira,1
121,11.0,Rondônia,2012,Frota,veículos,1.1.18. Trator de rodas,29
122,11.0,Rondônia,2012,Frota,veículos,1.1.19. Triciclo,206
123,11.0,Rondônia,2012,Frota,veículos,1.1.2. Bonde,0
124,11.0,Rondônia,2012,Frota,veículos,1.1.20. Utilitário,1885
125,11.0,Rondônia,2012,Frota,veículos,1.1.21. Outros,18
126,11.0,Rondônia,2012,Frota,veículos,1.1.3. Caminhão,25636
127,11.0,Rondônia,2012,Frota,veículos,1.1.4. Caminhão trator,4669
128,11.0,Rondônia,2012,Frota,veículos,1.1.5. Caminhonete,59373
129,11.0,Rondônia,2012,Frota,veículos,1.1.6. Camioneta,8697
130,11.0,Rondônia,2012,Frota,veículos,1.1.7. Chassi plataforma,14
131,11.0,Rondônia,2012,Frota,veículos,1.1.8. Ciclomotor,644
132,11.0,Rondônia,2012,Frota,veículos,1.1.9. Micro-ônibus,943
133,11.0,Rondônia,2013,Frota,veículos,1. Veículo,758308
134,11.0,Rondônia,2013,Frota,veículos,1.1.1. Automóvel,212652
135,11.0,Rondônia,2013,Frota,veículos,1.1.10. Motocicleta,319337
136,11.0,Rondônia,2013,Frota,veículos,1.1.11. Motoneta,92619
137,11.0,Rondônia,2013,Frota,veículos,1.1.12. Ônibus,4876
138,11.0,Rondônia,2013,Frota,veículos,1.1.13. Quadriciclo,0
139,11.0,Rondônia,2013,Frota,veículos,1.1.14. Reboque,8858
140,11.0,Rondônia,2013,Frota,veículos,1.1.15. Semi-reboque,9244
141,11.0,Rondônia,2013,Frota,veículos,1.1.16. Sidecar,40
142,11.0,Rondônia,2013,Frota,veículos,1.1.17. Trator de esteira,1
143,11.0,Rondônia,2013,Frota,veículos,1.1.18. Trator de rodas,36
144,11.0,Rondônia,2013,Frota,veículos,1.1.19. Triciclo,222
145,11.0,Rondônia,2013,Frota,veículos,1.1.2. Bonde,0
146,11.0,Rondônia,2013,Frota,veículos,1.1.20. Utilitário,2206
147,11.0,Rondônia,2013,Frota,veículos,1.1.21. Outros,20
148,11.0,Rondônia,2013,Frota,veículos,1.1.3. Caminhão,26735
149,11.0,Rondônia,2013,Frota,veículos,1.1.4. Caminhão trator,5123
150,11.0,Rondônia,2013,Frota,veículos,1.1.5. Caminhonete,65178
151,11.0,Rondônia,2013,Frota,veículos,1.1.6. Camioneta,9411
152,11.0,Rondônia,2013,Frota,veículos,1.1.7. Chassi plataforma,10
153,11.0,Rondônia,2013,Frota,veículos,1.1.8. Ciclomotor,732
154,11.0,Rondônia,2013,Frota,veículos,1.1.9. Micro-ônibus,1008
155,11.0,Rondônia,2014,Frota,veículos,1. Veículo,816943
156,11.0,Rondônia,2014,Frota,veículos,1.1.1. Automóvel,229994
157,11.0,Rondônia,2014,Frota,veículos,1.1.10. Motocicleta,339780
158,11.0,Rondônia,2014,Frota,veículos,1.1.11. Motoneta,100796
159,11.0,Rondônia,2014,Frota,veículos,1.1.12. Ônibus,5082
160,11.0,Rondônia,2014,Frota,veículos,1.1.13. Quadriciclo,0
161,11.0,Rondônia,2014,Frota,veículos,1.1.14. Reboque,10204
162,11.0,Rondônia,2014,Frota,veículos,1.1.15. Semi-reboque,10045
163,11.0,Rondônia,2014,Frota,veículos,1.1.16. Sidecar,40
164,11.0,Rondônia,2014,Frota,veículos,1.1.17. Trator de esteira,1
165,11.0,Rondônia,2014,Frota,veículos,1.1.18. Trator de rodas,38
166,11.0,Rondônia,2014,Frota,veículos,1.1.19. Triciclo,253
167,11.0,Rondônia,2014,Frota,veículos,1.1.2. Bonde,0
168,11.0,Rondônia,2014,Frota,veículos,1.1.20. Utilitário,2528
169,11.0,Rondônia,2014,Frota,veículos,1.1.21. Outros,27
170,11.0,Rondônia,2014,Frota,veículos,1.1.3. Caminhão,28165
171,11.0,Rondônia,2014,Frota,veículos,1.1.4. Caminhão trator,5534
172,11.0,Rondônia,2014,Frota,veículos,1.1.5. Caminhonete,72375
173,11.0,Rondônia,2014,Frota,veículos,1.1.6. Camioneta,10225
174,11.0,Rondônia,2014,Frota,veículos,1.1.7. Chassi plataforma,9
175,11.0,Rondônia,2014,Frota,veículos,1.1.8. Ciclomotor,744
176,11.0,Rondônia,2014,Frota,veículos,1.1.9. Micro-ônibus,1103
177,11.0,Rondônia,2015,Frota,veículos,1. Veículo,865839
178,11.0,Rondônia,2015,Frota,veículos,1.1.1. Automóvel,244423
179,11.0,Rondônia,2015,Frota,veículos,1.1.10. Motocicleta,356835
180,11.0,Rondônia,2015,Frota,veículos,1.1.11. Motoneta,107679
181,11.0,Rondônia,2015,Frota,veículos,1.1.12. Ônibus,5422
182,11.0,Rondônia,2015,Frota,veículos,1.1.13. Quadriciclo,0
183,11.0,Rondônia,2015,Frota,veículos,1.1.14. Reboque,11555
184,11.0,Rondônia,2015,Frota,veículos,1.1.15. Semi-reboque,10503
185,11.0,Rondônia,2015,Frota,veículos,1.1.16. Sidecar,40
186,11.0,Rondônia,2015,Frota,veículos,1.1.17. Trator de esteira,1
187,11.0,Rondônia,2015,Frota,veículos,1.1.18. Trator de rodas,40
188,11.0,Rondônia,2015,Frota,veículos,1.1.19. Triciclo,284
189,11.0,Rondônia,2015,Frota,veículos,1.1.2. Bonde,0
190,11.0,Rondônia,2015,Frota,veículos,1.1.20. Utilitário,2760
191,11.0,Rondônia,2015,Frota,veículos,1.1.21. Outros,34
192,11.0,Rondônia,2015,Frota,veículos,1.1.3. Caminhão,29299
193,11.0,Rondônia,2015,Frota,veículos,1.1.4. Caminhão trator,5796
194,11.0,Rondônia,2015,Frota,veículos,1.1.5. Caminhonete,78206
195,11.0,Rondônia,2015,Frota,veículos,1.1.6. Camioneta,10904
196,11.0,Rondônia,2015,Frota,veículos,1.1.7. Chassi plataforma,8
197,11.0,Rondônia,2015,Frota,veículos,1.1.8. Ciclomotor,885
198,11.0,Rondônia,2015,Frota,veículos,1.1.9. Micro-ônibus,1165
199,11.0,Rondônia,2016,Frota,veículos,1. Veículo,905487
200,11.0,Rondônia,2016,Frota,veículos,1.1.1. Automóvel,255545
201,11.0,Rondônia,2016,Frota,veículos,1.1.10. Motocicleta,370172
202,11.0,Rondônia,2016,Frota,veículos,1.1.11. Motoneta,112533
203,11.0,Rondônia,2016,Frota,veículos,1.1.12. Ônibus,5708
204,11.0,Rondônia,2016,Frota,veículos,1.1.13. Quadriciclo,0
205,11.0,Rondônia,2016,Frota,veículos,1.1.14. Reboque,12727
