Código,Nome Estação,Tipo Estação,UF,Bacia,SubBacia,Rio,Município,Responsável,Operadora,Latitude,Longitude,Altitude (m),Área de Drenagem (Km²)
49620000,AÇUDE TRÊS BARRAS,Fluviométrica,SE ,4 - RIO SÃO FRANCISCO,"49 - RIOS SÃO FRANCISCO,MOXOTÓ E",RIO SÃO FRANCISCO,,,,,,,
49650900,NOSSA SENHORA DA GLÓRIA,Fluviométrica,SE ,4 - RIO SÃO FRANCISCO,"49 - RIOS SÃO FRANCISCO,MOXOTÓ E",RIO SÃO FRANCISCO,,,,,,,
49651000,AÇUDE GLÓRIA,Fluviométrica,SE ,4 - RIO SÃO FRANCISCO,"49 - RIOS SÃO FRANCISCO,MOXOTÓ E",RIO SÃO FRANCISCO,,,,,,,
49670000,ESCURIAIS,Fluviométrica,SE ,4 - RIO SÃO FRANCISCO,"49 - RIOS SÃO FRANCISCO,MOXOTÓ E",RIO SÃO FRANCISCO,,,,,,,
49695000,CEDRO DO SÃO JOÃO,Fluviométrica,SE ,4 - RIO SÃO FRANCISCO,"49 - RIOS SÃO FRANCISCO,MOXOTÓ E",RIO SÃO FRANCISCO,,,,,,,
49700000,CEDRO DE SÃO JOÃO,Fluviométrica,SE ,4 - RIO SÃO FRANCISCO,"49 - RIOS SÃO FRANCISCO,MOXOTÓ E",RIO SÃO FRANCISCO,,,,,,,
49704000,COMPORTA,Fluviométrica,SE ,4 - RIO SÃO FRANCISCO,"49 - RIOS SÃO FRANCISCO,MOXOTÓ E",RIO SÃO FRANCISCO,,,,,,,
49704900,ANA / PRÓPRIÁ,Fluviométrica,SE ,4 - RIO SÃO FRANCISCO,"49 - RIOS SÃO FRANCISCO,MOXOTÓ E",RIO SÃO FRANCISCO,,,,,,,
49705000,PROPRIÁ,Fluviométrica,SE ,4 - RIO SÃO FRANCISCO,"49 - RIOS SÃO FRANCISCO,MOXOTÓ E",RIO SÃO FRANCISCO,,,,-10.2139 ,-36.8239 ,1.57 ,631000
49705001,PROPRIÁ,Fluviométrica,SE ,4 - RIO SÃO FRANCISCO,"49 - RIOS SÃO FRANCISCO,MOXOTÓ E",RIO SÃO FRANCISCO,,,,,,,
49705005,PROPRIÁ,Fluviométrica,SE ,4 - RIO SÃO FRANCISCO,"49 - RIOS SÃO FRANCISCO,MOXOTÓ E",RIO SÃO FRANCISCO,,,,,,,
49706000,UHE XINGÓ JUSANTE 3,Fluviométrica,SE ,4 - RIO SÃO FRANCISCO,"49 - RIOS SÃO FRANCISCO,MOXOTÓ E",RIO SÃO FRANCISCO,,,,,,,
49720000,PINDOBA,Fluviométrica,SE ,4 - RIO SÃO FRANCISCO,"49 - RIOS SÃO FRANCISCO,MOXOTÓ E",RIO SÃO FRANCISCO,,,,,,,
49730000,BARRA RIBEIRO COTINGUIBA,Fluviométrica,SE ,4 - RIO SÃO FRANCISCO,"49 - RIOS SÃO FRANCISCO,MOXOTÓ E",RIO SÃO FRANCISCO,,,,,,,
49731000,PROPRIÁ,Fluviométrica,SE ,4 - RIO SÃO FRANCISCO,"49 - RIOS SÃO FRANCISCO,MOXOTÓ E",RIO SÃO FRANCISCO,,,,,,,
49743000,NEÓPOLIS,Fluviométrica,SE ,4 - RIO SÃO FRANCISCO,"49 - RIOS SÃO FRANCISCO,MOXOTÓ E",RIO SÃO FRANCISCO,,,,,,,
49743100,ANA / NEÓPOLIS,Fluviométrica,SE ,4 - RIO SÃO FRANCISCO,"49 - RIOS SÃO FRANCISCO,MOXOTÓ E",RIO SÃO FRANCISCO,,,,,,,
49744000,PACATUBA,Fluviométrica,SE ,4 - RIO SÃO FRANCISCO,"49 - RIOS SÃO FRANCISCO,MOXOTÓ E",RIO SÃO FRANCISCO,,,,,,,
49745000,FAZENDA PRATA,Fluviométrica,SE ,4 - RIO SÃO FRANCISCO,"49 - RIOS SÃO FRANCISCO,MOXOTÓ E",RIO SÃO FRANCISCO,,,,,,,
49746000,JAPOATÃ,Fluviométrica,SE ,4 - RIO SÃO FRANCISCO,"49 - RIOS SÃO FRANCISCO,MOXOTÓ E",RIO SÃO FRANCISCO,,,,,,,
49747000,BETUME,Fluviométrica,SE ,4 - RIO SÃO FRANCISCO,"49 - RIOS SÃO FRANCISCO,MOXOTÓ E",RIO SÃO FRANCISCO,,,,,,,
49750000,BARRA DO RIACHO BETUME,Fluviométrica,SE ,4 - RIO SÃO FRANCISCO,"49 - RIOS SÃO FRANCISCO,MOXOTÓ E",RIO SÃO FRANCISCO,,,,,,,
49775000,BREJO GRANDE,Fluviométrica,SE ,4 - RIO SÃO FRANCISCO,"49 - RIOS SÃO FRANCISCO,MOXOTÓ E",RIO SÃO FRANCISCO,,,,,,,
49775100,FOZ DO RIO SÃO FRANCISCO,Fluviométrica,SE ,4 - RIO SÃO FRANCISCO,"49 - RIOS SÃO FRANCISCO,MOXOTÓ E",RIO SÃO FRANCISCO,,,,,,,
49775110,FOZ DO RIO SÃO FRANCISCO 1 KM DENDRO,Fluviométrica,SE ,4 - RIO SÃO FRANCISCO,"49 - RIOS SÃO FRANCISCO,MOXOTÓ E",RIO SÃO FRANCISCO,,,,,,,
49775120,FOZ DO RIO SÃO FRANCISO 2 KM DENTRO,Fluviométrica,SE ,4 - RIO SÃO FRANCISCO,"49 - RIOS SÃO FRANCISCO,MOXOTÓ E",RIO SÃO FRANCISCO,,,,,,,
49795000,PRAUNA,Fluviométrica,SE ,4 - RIO SÃO FRANCISCO,"49 - RIOS SÃO FRANCISCO,MOXOTÓ E",RIO SÃO FRANCISCO,,,,,,,
49796000,JAPOATÃ,Fluviométrica,SE ,4 - RIO SÃO FRANCISCO,"49 - RIOS SÃO FRANCISCO,MOXOTÓ E",RIO SÃO FRANCISCO,,,,,,,
